title,genres,keywords,tagline,cast,director
About Schmidt,Drama Comedy,wife husband relationship channel surfing mullet spiritual journey life changing,Schmidt Happens,Jack Nicholson Kathy Bates Hope Davis Dermot Mulroney June Squibb,Alexander Payne
Tanner Hall,Drama,boarding school woman director,,Rooney Mara Georgia King Brie Larson Amy Ferguson Antonia Steinberg,Francesca Gregorini
Space Cowboys,Action Adventure Thriller,nasa space travel astronaut elderly,Space will never be the same.,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood
Heavenly Creatures,Drama Fantasy,mother sex secret obsession literature,From a secret world no one could see... came a crime no one could believe.,Melanie Lynskey Kate Winslet Sarah Peirse Simon O'Connor Diana Kent,Peter Jackson
The Hitchhiker's Guide to the Galaxy,Adventure Comedy Family Science Fiction,bureaucracy england dolphin android based on novel,Don't leave Earth without it.,Martin Freeman Zooey Deschanel Sam Rockwell Yasiin Bey John Malkovich,Garth Jennings
Deuces Wild,Action Crime Drama Romance,gang new york city drug overdose,Some lines should never be crossed.,Stephen Dorff Fairuza Balk Brad Renfro Norman Reedus Max Perlich,Scott Kalvert
When the Lights Went Out,Thriller Drama Horror,newspaper exorcism poltergeist priest haunting,Set in 1974 and based on true events.,Kate Ashfield Jo Hartley Martin Compston Steven Waddington Craig Parkinson,Pat Holden
8 Days,Thriller Drama,christian film sex trafficking,She never knew it could happen to her...,Nicole Smolen Kim Baldwin Ariana Stephens Bryson Funk,Jaco Booyens
Joe,Drama,child abuse prostitute bar brothel snake,,Nicolas Cage Tye Sheridan Ronnie Gene Blevins Sue Rock Heather Kafka,David Gordon Green
The Lord of the Rings: The Two Towers,Adventure Fantasy Action,elves orcs middle-earth (tolkien) hobbit based on novel,A New Power Is Rising.,Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,Peter Jackson
Because I Said So,Comedy,mother guitar sister sister relationship profession new love,"She's just your normal, overprotective, overbearing, over-the-top mother.",Diane Keaton Mandy Moore Gabriel Macht Tom Everett Scott Lauren Graham,Michael Lehmann
Waterloo,History Action Drama,biography napoleon bonaparte waterloo,,Rod Steiger Christopher Plummer Orson Welles Jack Hawkins Virginia McKenna,Sergey Bondarchuk
Pink Narcissus,Drama Romance,dream prostitution,A unique experience in visual fantasy!,Bobby Kendall Donald L. Brooks Charles Ludlam,James Bidgood
Body of Lies,Action Drama Thriller,terror falsely accused based on novel dying and death jordan,Trust no one. Deceive everyone.,Leonardo DiCaprio Russell Crowe Mark Strong Ali Suliman Simon McBurney,Ridley Scott
"Signed, Sealed, Delivered",Comedy Drama Romance TV Movie,date love at first sight narration investigation team,,Eric Mabius Kristin Booth Crystal Lowe Geoff Gustafson Benjamin Hollingsworth,Scott Smith
Gracie,Drama,,,Jesse Lee Soffer Christopher Shand Carly Schroeder Karl Girolamo Vasilios Mantagas,Davis Guggenheim
Shortbus,Romance Drama Comedy,gay new york free love swinger club transsexuality,Open Your Mind. And Everything Else.,Sook-Yin Lee Paul Dawson PJ DeBoy Jay Brannan Lindsay Beamish,John Cameron Mitchell
Barbarella,Science Fiction,sexual fantasy alien planet distant future cult classic female mercenary,See Barbarella do her thing!,Jane Fonda John Phillip Law Anita Pallenberg Marcel Marceau Claude Dauphin,Roger Vadim
Forget Me Not,Drama Horror Romance,independent film,,Carly Schroeder Cody Linley Brie Gabrielle Chloe Bridges Micah Alberti,Tyler Oliver
The Woman in Black,Drama Horror Thriller,london england secret remake revenge lawyer,What did they see?,Daniel Radcliffe Ciar\u00e1n Hinds Sidney Johnston Alisa Khazanova Mary Stockley,James Watkins
Star Trek: Nemesis,Science Fiction Action Adventure Thriller,clone assassination ambush federation starfleet,A generation's final journey... begins.,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Stuart Baird
Inspector Gadget,Action Adventure Comedy Family,gadget,The greatest hero ever assembled.,Matthew Broderick Rupert Everett Joely Fisher Michelle Trachtenberg Andy Dick,David Kellogg
The Nun's Story,Drama,nurse missionary nun belgium sanitarium,Her Faith Remained Strong and True in the Face of Africa's Terrors!,Audrey Hepburn Peter Finch Peggy Ashcroft Dean Jagger Mildred Dunnock,Fred Zinnemann
Alice in Wonderland,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,You're invited to a very important date.,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
The Butterfly Effect,Science Fiction Thriller,amnesia chaos theory blackout time travel flashback,"Such minor changes, such huge consequences.",Ashton Kutcher Melora Walters Amy Smart Elden Henson William Lee Scott,Eric Bress
Cheaper by the Dozen,Comedy,big family new job aspiring actor smart kid,Growing pains? They've got twelve of them!,Steve Martin Bonnie Hunt Piper Perabo Tom Welling Hilary Duff,Shawn Levy
The Lego Movie,Adventure Animation Comedy Family Fantasy,father son relationship creativity friendship part live action toys,The story of a nobody who saved everybody.,Chris Pratt Will Ferrell Elizabeth Banks Will Arnett Nick Offerman,Phil Lord
Role Models,Comedy,camping campsite big brother friends community service,They're about to get more than they plea-bargained for.,Seann William Scott Paul Rudd Elizabeth Banks Christopher Mintz-Plasse Bobb'e J. Thompson,David Wain
The Children of Huang Shi,Drama War,based on true story duringcreditsstinger,"War made them orphans, one man made them legends",Jonathan Rhys Meyers Radha Mitchell Chow Yun-fat Michelle Yeoh,Roger Spottiswoode
Sabotage,Action Drama Thriller Crime,drug cartel dea,Leave no loose ends,Arnold Schwarzenegger Sam Worthington Mireille Enos Joe Manganiello Harold Perrineau,David Ayer
Taken,Action Thriller,paris kidnapping human trafficking rescue prostitution,They took his daughter.  He'll take their lives.,Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly Valance,Pierre Morel
Mortdecai,Comedy Adventure,based on novel painting debt art dealer stolen painting,Sophistication Has a Name.,Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn,David Koepp
Love the Coopers,Comedy Family,big family family relationships family woman director christmas,"Christmas means comfort, joy and chaos.",Steve Martin Diane Keaton John Goodman Alan Arkin Olivia Wilde,Jessie Nelson
Star Wars: Episode III - Revenge of the Sith,Science Fiction Adventure Action,showdown death star vision cult figure hatred,The saga is complete.,Ewan McGregor Natalie Portman Hayden Christensen Ian McDiarmid Samuel L. Jackson,George Lucas
Imagine That,Comedy,,What if your daughter's imagination... Was the secret to your success?,Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi,Karey Kirkpatrick
Steve Jobs,Drama History,biography computer father daughter relationship apple computer steve jobs,Can a great man be a good man?,Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels,Danny Boyle
Collateral Damage,Action Thriller Drama,terrorist fbi colombia firemen revenge,What would you do if you lost everything?,Arnold Schwarzenegger Francesca Neri Elias Koteas Cliff Curtis John Turturro,Andrew Davis
The World Is Not Enough,Adventure Action Thriller,british mission oil heiress bilbao spain,As the countdown begins for the new millennium there is still one number you can always count on.,Pierce Brosnan Sophie Marceau Robert Carlyle Denise Richards Robbie Coltrane,Michael Apted
Hollywood Homicide,Action Adventure Comedy Thriller,rap music hitman,,Harrison Ford Josh Hartnett Lena Olin Bruce Greenwood Isaiah Washington,Ron Shelton
Paranormal Activity 4,Horror,garage poltergeist webcam imaginary friend bathtub,It's closer than you think,Katie Featherston Kathryn Newton Matt Shively Aiden Lovekamp Brady Allen,Henry Joost
My Fair Lady,Drama Family Music Romance,musical transformation flower girl colonel wager,The loverliest motion picture of them all!,Audrey Hepburn Rex Harrison Stanley Holloway Wilfrid Hyde-White Gladys Cooper,George Cukor
Anchorman: The Legend of Ron Burgundy,Comedy,journalism sexism ladder panda tv show in film,They bring you the news so you don't have to get it yourself.,Will Ferrell Christina Applegate Paul Rudd David Koechner Steve Carell,Adam McKay
Mississippi Mermaid,Crime Drama Romance,exotic island secret love of one's life plantation marriage,The Bride Came as Advertised...With an Unadvertised Special,Jean-Paul Belmondo Catherine Deneuve Michel Bouquet Nelly Borgeaud Martine Ferri\u00e8re,Fran\u00e7ois Truffaut
The 40 Year Old Virgin,Comedy Romance,first time virgin,"The longer you wait, the harder it gets",Steve Carell Catherine Keener Paul Rudd Romany Malco Seth Rogen,Judd Apatow
The Other Conquest,Drama Foreign,female nudity pagan aztec indian,The spirit of a people can never be conquered.,Dami\u00e1n Delgado Jos\u00e9 Carlos Rodr\u00edguez Elpidia Carrillo I\u00f1aki Aierra Honorato Magaloni,Salvador Carrasco
The Social Network,Drama,hacker hacking creator frat party social network,You don't get to 500 million friends without making a few enemies.,Jesse Eisenberg Andrew Garfield Justin Timberlake Armie Hammer Max Minghella,David Fincher
The Bad Lieutenant: Port of Call - New Orleans,Drama Crime,police brutality organized crime policeman illegal drugs murder investigation,The only criminal he can't catch is himself.,Nicolas Cage Eva Mendes Val Kilmer Fairuza Balk Shawn Hatosy,Werner Herzog
Religulous,Comedy Documentary,muslim museum jew evidence rabbi,Heaven help us.,Bill Maher Jose Luis De Jesus Miranda Andrew Newberg Steve Burg Tal Bachman,Larry Charles
Predator 2,Science Fiction Action Thriller,predator war on drugs extraterrestrial technology los angeles invisible,Silent. Invisible. Invincible. He's in town with a few days to kill.,Kevin Peter Hall Danny Glover Gary Busey Rub\u00e9n Blades Mar\u00eda Conchita Alonso,Stephen Hopkins
Abduction,Thriller Action Mystery,cia airport hero fight kidnapping,They stole his life. He's taking it back.,Taylor Lautner Lily Collins Alfred Molina Jason Isaacs Maria Bello,John Singleton
Faith Connections,Documentary Drama,himalaya hindu pilgrimage faith hinduism,,Bhole Baba Hatha Yogi Baba Pant Shirt Baba Baby Bajrangi Shriman Umeshanad Brahmachari,Pan Nalin
A Room with a View,Drama Romance,kiss bed and breakfast place florence,,Maggie Smith Helena Bonham Carter Denholm Elliott Julian Sands Simon Callow,James Ivory
Signs,Drama Thriller Science Fiction Mystery,symbolism water farm faith alien,It’s not like they didn’t warn us.,Mel Gibson Joaquin Phoenix Rory Culkin Abigail Breslin Cherry Jones,M. Night Shyamalan
Trees Lounge,Comedy Drama,bar alcoholism independent film drinking,,Steve Buscemi Chlo\u00eb Sevigny Carol Kane Mark Boone Junior Bronson Dudley,Steve Buscemi
It Follows,Horror Thriller,chase supernatural friends vision school,"It doesn't think, it doesn't feel, it doesn't give up",Maika Monroe Keir Gilchrist Daniel Zovatto Jake Weary Olivia Luccardi,David Robert Mitchell
A View to a Kill,Adventure Action Thriller,paris london england france england san francisco,Has James Bond finally met his match?,Roger Moore Christopher Walken Tanya Roberts Grace Jones Patrick Macnee,John Glen
8MM,Thriller Crime Mystery,pornography porn actor loss of daughter child pornography private investigator,You can't prepare for where the truth will take you.,Nicolas Cage Joaquin Phoenix James Gandolfini Chris Bauer Anthony Heald,Joel Schumacher
Rent,Drama Romance,gay sex aids musical hiv,No day but today.,Anthony Rapp Adam Pascal Rosario Dawson Jesse L. Martin Wilson Jermaine Heredia,Chris Columbus
Much Ado About Nothing,Drama Comedy Romance,shakespeare bachelor new love rage and hate lover,Romance. Mischief. Seduction. Revenge. Remarkable.,Kenneth Branagh Richard Briers Michael Keaton Robert Sean Leonard Keanu Reeves,Kenneth Branagh
Dying of the Light,Thriller Drama,cia retirement espionage terrorism,,Nicolas Cage Anton Yelchin Alexander Karim Ir\u00e8ne Jacob Aymen Hamdouchi,Paul Schrader
The Cold Light of Day,Action Thriller,kidnapping spying government,Be careful who you trust.,Henry Cavill Ver\u00f3nica Echegui Sigourney Weaver Bruce Willis Caroline Goodall,Mabrouk El Mechri
Mean Girls,Comedy,female friendship high school fish out of water best friend teenager,Welcome to girl world.,Lindsay Lohan Rachel McAdams Tim Meadows Ana Gasteyer Amy Poehler,Mark Waters
Sex Tape,Comedy,marriage internet relationship family sex tape,A movie about a movie they don't want you to see.,Cameron Diaz Jason Segel Rob Corddry Ellie Kemper Rob Lowe,Jake Kasdan
Eight Below,Adventure Drama Family,expedition pilot survival sled dogs seal,"The Most Amazing Story Of Survival, Friendship, And Adventure Ever Told.",Paul Walker Bruce Greenwood Moon Bloodgood Jason Biggs Gerard Plunkett,Frank Marshall
New York Minute,Comedy,twin sister music video geek vacation university,,Ashley Olsen Mary-Kate Olsen Eugene Levy Andy Richter Riley Smith,Dennie Gordon
Ice Age: Continental Drift,Animation Comedy Adventure Family,blue footed booby prehistoric times melting ice badger elephant seal,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift.",John Leguizamo Ray Romano Chris Wedge Denis Leary Seann William Scott,Steve Martino
Prisoners,Drama Thriller Crime,pennsylvania kidnapping maze vigilante rural setting,Every moment matters.,Hugh Jackman Jake Gyllenhaal Paul Dano Maria Bello Melissa Leo,Denis Villeneuve
The Mist,Science Fiction Horror Thriller,father son relationship monster supermarket fight artist,"Belief divides them, mystery surrounds them, but fear changes everything.",Thomas Jane Marcia Gay Harden Laurie Holden Andre Braugher Toby Jones,Frank Darabont
Annie Get Your Gun,Action Comedy Music Romance Western,musical annie oakley sharpshooter,,Betty Hutton Howard Keel Louis Calhern J. Carrol Naish Edward Arnold,George Sidney
The Names of Love,Drama Comedy Romance,female nudity political voting results,"Make Love, Not War",Jacques Gamblin Sara Forestier Zinedine Soualem Jacques Boudet Carole Franck,Michel Leclerc
Wicker Park,Drama Mystery Romance Thriller,love of one's life leave look-alike intrigue,Passion never dies.,Josh Hartnett Rose Byrne Matthew Lillard Diane Kruger Christopher Cousins,Paul McGuigan
The Prestige,Drama Mystery Thriller,competition secret obsession magic dying and death,Are You Watching Closely?,Hugh Jackman Christian Bale Michael Caine Scarlett Johansson Andy Serkis,Christopher Nolan
The Insider,Drama Thriller,spy newspaper research interview tobacco,Two men driven to tell the truth... whatever the cost.,Al Pacino Russell Crowe Christopher Plummer Diane Venora Bruce McGill,Michael Mann
Kick-Ass 2,Action Adventure Crime,crime fighter secret identity marvel comic superhero aftercreditsstinger,You Can't Fight Your Destiny.,Aaron Taylor-Johnson Chlo\u00eb Grace Moretz Christopher Mintz-Plasse Clark Duke Jim Carrey,Jeff Wadlow
Our Family Wedding,Comedy,interracial marriage wedding duringcreditsstinger,To have and to hold... 'Til dads do us part.,Forest Whitaker America Ferrera Carlos Mencia Regina King Lance Gross,Rick Famuyiwa
Get Him to the Greek,Comedy,aftercreditsstinger,Aaron Green has 72 hours to get a Rock Star from London to L.A. Pray for him.,Jonah Hill Russell Brand Rose Byrne Elisabeth Moss Colm Meaney,Nicholas Stoller
Finding Nemo,Animation Family,father son relationship harbor underwater fish tank great barrier reef,"There are 3.7 trillion fish in the ocean, they're looking for one.",Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe Brad Garrett,Andrew Stanton
Out of the Blue,Drama,new zealand gun rampage police independent film neighbor,The true story of a small town massacre,Karl Urban Tandi Wright Simon Ferry Matthew Sunderland Lois Lawn,Robert Sarkies
Deck the Halls,Comedy Family,holiday massachusetts neighbor christmas,There glows the neighborhood,Danny DeVito Matthew Broderick Kristin Davis Kristin Chenoweth Fred Armisen,John Whitesell
